X,Y,dow
397854,6914103,5.0
407840,6904334,5.0
412331,6905515,5.0
413187,6905488,5.0
284730,6956529,5.0
284848,6956769,5.0
286412,6959602,5.0
287937,6969809,5.0
298997,6984239,5.0
299044,6984953,5.0
299694,6987194,5.0
299695,6987207,5.0
294645,7005550,5.0
289710,7008481,5.0
291297,7018880,5.0
291125,7019888,5.0
428033,7212503,5.0
429070,7212303,5.0
429072,7212302,5.0
429246,7212253,5.0
429842,7212312,5.0
431626,7213329,5.0
434425,7215245,5.0
442207,7223134,5.0
442550,7223271,5.0
452630,7226927,5.0
466641,7231069,5.0
476719,7236875,5.0
482022,7238212,5.0
556240,7271791,5.0
579472,7297508,5.0
586542,7304531,5.0
586822,7304637,5.0
362109,7337130,5.0
362109,7337133,5.0
362070,7337521,5.0
356007,7345195,5.0
352255,7353912,5.0
351360,7369847,5.0
353050,7374925,5.0
355110,7378510,5.0
361438,7386986,5.0
362633,7397907,5.0
372756,7423222,5.0
372289,7427506,5.0
369255,7448823,5.0
366814,7455424,5.0
358734,7485608,5.0
354445,7549457,5.0
292766,7616628,5.0
430020,7209474,5.0
437982,7202874,5.0
441203,7199902,5.0
452233,7187372,5.0
453158,7187111,5.0
485180,7163692,5.0
514073,7153693,5.0
532663,7144251,5.0
224831,6836599,5.0
224851,6836619,5.0
225859,6837665,5.0
227188,6839348,5.0
239595,6853855,5.0
244737,6857867,5.0
254864,6862170,5.0
256093,6862553,5.0
263575,6866969,5.0
268052,6870009,5.0
322326,6907678,5.0
324116,6907169,5.0
330391,6907484,5.0
378738,6905587,5.0
381445,6904636,5.0
388947,6902930,5.0
392807,6902393,5.0
406442,6904172,5.0
532607,6906602,5.0
544323,6908332,5.0
557743,6916447,5.0
559124,6918279,5.0
564050,6923355,5.0
583239,6932649,5.0
584901,6932874,5.0
606443,6934557,5.0
609815,6937229,5.0
610160,6938561,5.0
618390,6946832,5.0
431387,6762318,5.0
428727,6764773,5.0
428713,6764827,5.0
426805,6776153,5.0
424737,6780048,5.0
424368,6780580,5.0
408165,6846132,5.0
281293,6643593,5.0
283698,6644496,5.0
301803,6654778,5.0
302756,6655024,5.0
307650,6657641,5.0
307707,6657689,5.0
313313,6661977,5.0
313314,6661978,5.0
314588,6662675,5.0
315795,6663453,5.0
328593,6672465,5.0
334049,6675728,5.0
349202,6690510,5.0
352057,6693185,5.0
357043,6696399,5.0
361495,6702645,5.0
363749,6704583,5.0
372997,6713079,5.0
375200,6714033,5.0
377852,6715246,5.0
377885,6715245,5.0
378371,6715235,5.0
381681,6718748,5.0
383238,6720597,5.0
384321,6721189,5.0
384378,6721214,5.0
394216,6721792,5.0
400948,6722479,5.0
510514,6719945,5.0
372069,7111670,5.0
373221,7109835,5.0
380029,7106810,5.0
380493,7106546,5.0
397055,7093269,5.0
432794,7068868,5.0
443997,7066828,5.0
446506,7065652,5.0
472335,7060943,5.0
483962,7058125,5.0
485550,7057128,5.0
507567,7053077,5.0
323824,7086803,5.0
330778,7087101,5.0
346504,7089662,5.0
347762,7089775,5.0
358803,7090080,5.0
376177,7090115,5.0
385944,7084931,5.0
387022,7085020,5.0
407178,7094389,5.0
407780,7094366,5.0
498368,7109786,5.0
517565,7109860,5.0
521321,7110104,5.0
380555,7303132,5.0
380405,7303192,5.0
379288,7303782,5.0
229831,6713786,5.0
230896,6713187,5.0
235231,6715601,5.0
235388,6715665,5.0
235965,6715749,5.0
237561,6716042,5.0
237778,6716119,5.0
238588,6716279,5.0
242651,6715286,5.0
244071,6713642,5.0
244874,6713102,5.0
245347,6712772,5.0
245952,6712475,5.0
257345,6733050,5.0
257971,6737573,5.0
257986,6737657,5.0
261034,6743564,5.0
266835,6757846,5.0
266178,6763622,5.0
266295,6764895,5.0
265849,6777340,5.0
266447,6786265,5.0
267048,6788296,5.0
197204,6753834,5.0
198340,6753640,5.0
198475,6753603,5.0
198473,6753590,5.0
200642,6753794,5.0
212499,6760589,5.0
224548,6770892,5.0
238623,6782025,5.0
237023,6788347,5.0
236106,6789998,5.0
236420,6802392,5.0
274329,6805456,5.0
273620,6805998,5.0
270539,6812597,5.0
258251,6859404,5.0
256420,6861976,5.0
251543,6873031,5.0
249792,6877885,5.0
255322,6906952,5.0
252892,6932521,5.0
252939,6932660,5.0
388153,6684070,5.0
388330,6685143,5.0
388854,6686470,5.0
389673,6692697,5.0
389691,6692718,5.0
390047,6693695,5.0
390106,6693814,5.0
390652,6694526,5.0
389800,6700227,5.0
482834,6755095,5.0
479593,6757500,5.0
466111,6778379,5.0
452526,6791680,5.0
451064,6791567,5.0
363161,6669814,5.0
365424,6674679,5.0
372973,6680947,5.0
376601,6683593,5.0
377233,6683990,5.0
380181,6685279,5.0
382957,6686467,5.0
383700,6686484,5.0
386303,6686139,5.0
387010,6686040,5.0
387222,6685962,5.0
387568,6685799,5.0
387674,6685694,5.0
387824,6685582,5.0
388826,6685064,5.0
388866,6685064,5.0
391528,6684391,5.0
391987,6684237,5.0
392942,6684066,5.0
394334,6683440,5.0
394590,6683328,5.0
394997,6682892,5.0
395951,6682048,5.0
396103,6681855,5.0
396352,6681442,5.0
383751,6671850,5.0
377161,6672256,5.0
376746,6672248,5.0
373342,6671569,5.0
370804,6670862,5.0
369240,6671034,5.0
367610,6671435,5.0
365264,6670217,5.0
363069,6669298,5.0
357103,6667125,5.0
351605,6665451,5.0
341623,6663728,5.0
339149,6662817,5.0
332263,6661078,5.0
330614,6660967,5.0
328905,6661141,5.0
327058,6662139,5.0
321443,6663296,5.0
299403,6657337,5.0
298347,6658887,5.0
294755,6663879,5.0
294394,6663972,5.0
293704,6664378,5.0
287315,6675812,5.0
286789,6676415,5.0
286405,6676947,5.0
284950,6679307,5.0
286917,6699304,5.0
286885,6701504,5.0
293478,6708957,5.0
294189,6709655,5.0
295123,6710784,5.0
299223,6715986,5.0
302796,6719551,5.0
306289,6733049,5.0
304973,6741452,5.0
345655,6741624,5.0
350172,6739881,5.0
352032,6739263,5.0
352558,6738950,5.0
357170,6736236,5.0
358689,6735059,5.0
368823,6736159,5.0
370421,6736200,5.0
