Cluster,X,Y,Day
0,590552.0,7197214.0,5.0
0,590544.0,7197220.0,5.0
0,590977.0,7225625.0,5.0
0,590978.0,7226507.0,5.0
0,586851.0,7269830.0,5.0
0,591463.0,7277531.0,5.0
1,600399.0,7293401.0,5.0
1,597121.0,7327901.0,5.0
1,597481.0,7331624.0,5.0
1,595835.0,7337566.0,5.0
0,523530.0,7399135.0,5.0
0,521154.0,7399729.0,5.0
0,520928.0,7399766.0,5.0
0,502409.0,7469364.0,5.0
2,451922.0,6719335.0,5.0
0,459911.99999999994,6727922.0,5.0
0,472284.0,6738573.0,5.0
0,472670.0,6739264.0,5.0
0,474344.0,6742582.0,5.0
0,481378.0,6748868.0,5.0
0,484181.0,6749557.0,5.0
0,484292.0,6749595.0,5.0
0,484943.0,6749813.0,5.0
0,491510.0,6750146.0,5.0
0,491851.0,6750183.0,5.0
0,519657.0,6753222.0,5.0
0,524231.0,6753581.0,5.0
0,529018.0,6754095.0,5.0
0,549803.0,6762130.0,5.0
0,551159.0,6763478.0,5.0
0,554354.0,6765197.0,5.0
0,559461.0,6767085.0,5.0
0,562842.0,6767982.0,5.0
0,571304.0,6771924.0,5.0
0,580054.0,6776786.0,5.0
0,593626.0,6784565.0,5.0
0,639967.0,6840425.0,5.0
0,643951.0,6854482.0,5.0
0,643781.0,6857491.0,5.0
0,661968.0,6908309.0,5.0
0,662019.0,6908626.0,5.0
0,642257.0,6946125.0,5.0
0,642401.0,6946526.0,5.0
0,645995.0,6961285.0,5.0
0,643825.0,6978887.0,5.0
0,641362.0,6985210.0,5.0
0,629187.0,7002602.0,5.0
0,628784.0,7003047.0,5.0
0,588537.0,7063624.0,5.0
0,571678.0,7083594.0,5.0
0,564491.0,7101004.0,5.0
0,564340.0,7101434.0,5.0
0,536220.0,7119629.0,5.0
2,401166.0,6682604.0,5.0
2,404339.0,6683458.0,5.0
2,404345.0,6683457.0,5.0
2,412303.0,6687596.0,5.0
2,420787.0,6693508.0,5.0
2,432192.0,6699740.0,5.0
2,433962.0,6700103.0,5.0
2,438380.0,6705555.0,5.0
2,443290.0,6706610.0,5.0
0,486684.0,6707522.0,5.0
0,492205.0,6706851.0,5.0
0,493432.0,6707162.0,5.0
