X,Y,prediction
306289,6733049,1
304973,6741452,1
345655,6741624,1
350172,6739881,1
352032,6739263,1
352558,6738950,1
357170,6736236,1
358689,6735059,1
368823,6736159,1
370421,6736200,1
374998,6736830,1
376076,6737073,1
380178,6739288,1
388411,6741224,1
388860,6741275,1
396278,6746019,1
401207,6747644,1
405061,6750009,1
407377,6751969,1
424051,6695664,1
421759,6701177,1
406749,6722209,1
360648,6767769,1
359250,6772260,1
360721,6784067,1
353036,6824534,2
360228,6841871,2
359069,6844584,2
370964,6869793,2
385377,6920259,2
398035,6984083,2
404418,7017180,0
396767,7055136,0
417267,7070056,0
429341,7085137,0
518296,6835337,1
545021,6818897,1
548328,6820613,1
549267,6821421,1
576771,6813755,1
597493,6786511,1
330016,7045541,2
347605,7055664,0
348145,7056222,0
356240,7064182,0
379135,7092248,0
377431,7098550,0
376422,7102218,0
323567,6824201,2
323364,6824267,2
323249,6824315,2
323218,6824315,2
322573,6824629,2
321123,6826506,2
321032,6826581,2
318554,6829214,2
318157,6829305,2
317015,6833588,2
320161,6852025,2
326023,6870212,2
325758,6870970,2
343325,6882408,2
332823,6904245,2
325899,6926226,2
326143,6945315,2
326142,6945319,2
326117,6945812,2
324715,6949368,2
323451,6953150,2
202770,6930161,2
239126,6937990,2
269963,6959640,2
281524,6968937,2
288016,6969829,2
346639,6984308,2
345368,6986515,2
341166,6998740,2
337868,7010990,2
332420,7018049,2
326032,7026572,2
323184,7030592,2
297622,7062434,2
295561,7062308,2
295560,7062308,2
293269,7063426,2
289371,7068014,2
435583,6933697,2
619226,6868044,1
618817,6870405,1
512113,6868807,1
662583,6972158,0
663061,6978469,0
646660,7027291,0
654765,6944904,0
667928,6941346,0
533272,6994235,0
534363,6994736,0
538763,6998896,0
550763,7000755,0
559694,7007893,0
571877,7023201,0
572904,7024395,0
578351,7027377,0
621129,7108694,0
565155,7112892,0
571865,7110442,0
607763,7107815,0
438856,6990728,0
443921,7003408,0
526033,6995958,0
538811,7150633,0
538910,7151519,0
536545,7177670,0
530310,7195590,0
487261,7275625,0
478428,7308919,0
470523,7318657,0
469102,7322401,0
462029,7348510,0
444484,7374837,0
429974,7411192,0
417092,7437533,0
411483,7451442,0
411156,7493693,0
411155,7506399,0
408980,7511744,0
384872,7492259,0
444468,7378217,0
470809,7365668,0
511151,7399741,0
544159,7397128,0
571863,7413234,0
575255,7416500,0
383479,7111728,0
384953,7113005,0
400979,7134777,0
401623,7135399,0
404307,7144413,0
415512,7166295,0
422047,7182295,0
382297,7170649,0
448944,7117694,0
484274,7090746,0
497938,7072858,0
502027,7060877,0
505840,7057261,0
506257,7057186,0
461259,7699374,0
384555,6676464,1
384726,6676398,1
384760,6676384,1
379469,6672785,1
378911,6676207,1
378917,6676232,1
380348,6678975,1
380584,6679006,1
382645,6679414,1
382714,6679410,1
382992,6679397,1
383190,6679406,1
383351,6679407,1
384173,6679688,1
384198,6679704,1
384664,6679883,1
385563,6680120,1
385662,6680135,1
385748,6680136,1
386182,6680271,1
386816,6680406,1
386838,6680403,1
387827,6680213,1
388552,6680062,1
392076,6678777,1
392139,6678728,1
392405,6678593,1
392576,6678529,1
392754,6678492,1
392792,6678482,1
393000,6678425,1
393177,6678362,1
393606,6678004,1
393717,6677738,1
393720,6677686,1
393700,6677687,1
393796,6677289,1
393987,6676665,1
394014,6676588,1
375296,6672089,1
375329,6672471,1
375474,6672994,1
375174,6674123,1
375162,6674429,1
397053,6680512,1
307486,6668091,1
308782,6672923,1
376509,6678672,1
366384,6680794,1
347206,6689466,1
342471,6696124,1
341017,6696262,1
333263,6697775,1
332477,6697616,1
311435,6698655,1
304550,6698094,1
297689,6698287,1
297541,6698342,1
286888,6701487,1
256541,6707949,1
253992,6707044,1
242224,6707713,1
310714,6667164,1
310278,6667289,1
309814,6667576,1
309074,6667932,1
307660,6667586,1
302792,6666744,1
299342,6666157,1
375472,6676587,1
382212,6678630,1
382072,6678789,1
381822,6679082,1
381468,6679546,1
381363,6679684,1
381212,6679882,1
381038,6680086,1
379597,6681714,1
378588,6683765,1
363329,6696100,1
359998,6698938,1
341106,6708528,1
333467,6707733,1
378972,6694447,1
380444,6701588,1
380914,6704896,1
380258,6723304,1
376161,6736582,1
375605,6738177,1
375015,6739315,1
372400,6743351,1
351680,6770262,1
346911,6776694,1
340618,6785257,1
341851,6787456,1
337534,6797018,2
330161,6807077,2
328053,6807702,2
377097,6694863,1
376757,6695049,1
376259,6695669,1
375091,6698205,1
371513,6706547,1
368058,6711506,1
367392,6711986,1
362462,6728523,1
362343,6730353,1
350431,6712889,1
358495,6721995,1
358719,6721945,1
