X,Y,prediction
327236,6816051,0
327351,6816350,0
327364,6816386,0
327628,6817187,0
327684,6817474,0
327736,6817637,0
327793,6818063,0
327463,6818581,0
327220,6818501,0
327198,6818491,0
326710,6818354,0
326272,6818463,0
325483,6818789,0
325427,6818783,0
325290,6818811,0
324269,6818522,0
324184,6818430,0
323978,6818142,0
323931,6818066,0
323354,6817523,0
321994,6817271,0
321629,6817316,0
321494,6817362,0
321273,6817463,0
321077,6817589,0
320975,6817638,0
320631,6817906,0
320552,6818001,0
320326,6818205,0
320232,6818293,0
318891,6819594,0
318814,6819735,0
318688,6819940,0
318519,6820261,0
318482,6820327,0
317853,6822564,0
317735,6822702,0
317291,6823165,0
317207,6823465,0
317249,6824075,0
317317,6824254,0
317450,6825178,0
317327,6827817,0
317483,6828333,0
317731,6828755,0
317876,6829378,0
317456,6829514,0
317421,6829509,0
317349,6829549,0
317208,6829582,0
317023,6829643,0
316746,6829759,0
316739,6829762,0
316518,6829869,0
314586,6831004,0
314308,6831160,0
314208,6831223,0
308484,6834659,0
308045,6834988,0
307697,6835244,0
307522,6835367,0
307047,6835654,0
306724,6835816,0
306540,6835897,0
305917,6836122,0
305620,6836203,0
304834,6836342,0
304101,6836432,0
303370,6836614,0
302536,6836830,0
302250,6836905,0
300982,6837108,0
300963,6837109,0
299632,6838216,0
297984,6840728,0
297902,6840869,0
297514,6841538,0
297361,6841803,0
297353,6841817,0
296830,6842809,0
296749,6843165,0
296950,6844760,0
296828,6845712,0
296787,6845890,0
296626,6846556,0
296591,6846737,0
296454,6847592,0
296069,6848931,0
294510,6851615,0
294193,6851845,0
294041,6851955,0
293443,6852386,0
293296,6852492,0
293096,6852635,0
292927,6852758,0
291938,6853234,0
291489,6853358,0
291443,6853366,0
290390,6853771,0
289665,6855182,0
288532,6857373,0
287266,6859555,0
286968,6860250,0
286636,6861115,0
286465,6861750,0
285905,6863669,0
286573,6864779,0
288832,6869656,0
288725,6871177,0
288765,6871522,0
289453,6874070,0
289796,6874911,0
291590,6881825,0
292031,6884128,0
292601,6884841,0
293214,6891774,0
292574,6892574,0
292403,6892808,0
290385,6901787,0
289826,6903414,0
287851,6912186,0
283151,6922559,0
282664,6927594,0
282036,6931284,0
282034,6931329,0
282006,6931875,0
281863,6933232,0
281263,6934898,0
280807,6936702,0
279951,6938147,0
279803,6938344,0
278725,6939474,0
277845,6940542,0
277589,6940851,0
267881,6949224,0
266594,6950471,0
266005,6956306,1
265994,6956346,1
259214,6971305,1
259194,6971485,1
259170,6971683,1
259160,6971773,1
258804,6974348,1
258507,6975649,1
257868,6976626,1
257578,6977137,1
257078,6977959,1
254932,6980053,1
254183,6980512,1
252364,6981623,1
249572,6984064,1
249402,6986037,1
249514,6988013,1
248621,6991313,1
248615,6991338,1
248090,6992099,1
248041,6992161,1
246945,6993527,1
246771,6993648,1
245250,6994694,1
240279,6996739,1
238935,6997594,1
238765,6997702,1
237731,6998361,1
236063,6999100,1
235730,6999165,1
234879,6999610,1
233984,7000612,1
233964,7000644,1
233942,7000679,1
233714,7000994,1
233592,7001254,1
233224,7001978,1
232984,7002508,1
232172,7004599,1
229855,7005789,1
228851,7006339,1
228799,7006457,1
228750,7006518,1
387788,6677281,0
387989,6677532,0
390290,6678708,0
390935,6679140,0
391623,6679629,0
391723,6679705,0
391950,6679886,0
392030,6679930,0
392210,6680112,0
392356,6680244,0
392466,6680325,0
392956,6681147,0
393041,6681308,0
393063,6681362,0
393050,6681379,0
393109,6681475,0
393132,6681582,0
393379,6682189,0
393379,6682189,0
393734,6682696,0
393916,6682913,0
393902,6682941,0
393902,6682941,0
394160,6683293,0
394486,6684273,0
394531,6684490,0
394556,6684473,0
394587,6684676,0
394591,6684708,0
394601,6684791,0
394674,6685582,0
394699,6685938,0
394813,6686391,0
394885,6686702,0
394910,6686792,0
394984,6687028,0
395474,6687966,0
396031,6689226,0
396034,6689248,0
395871,6690340,0
395822,6690504,0
395806,6690565,0
395776,6690693,0
395761,6690908,0
395731,6690937,0
395717,6691025,0
395730,6691151,0
395717,6691760,0
395758,6692133,0
395776,6692232,0
395914,6692733,0
395936,6692885,0
395990,6693058,0
396006,6693116,0
396118,6693591,0
396188,6693844,0
396210,6695150,0
396208,6695191,0
396221,6695634,0
396622,6696786,0
396817,6698450,0
396714,6699169,0
396861,6701328,0
396874,6701583,0
396868,6702117,0
396899,6702665,0
396886,6703240,0
396898,6703405,0
397011,6703940,0
397752,6706042,0
398312,6710615,0
398354,6710677,0
398560,6710952,0
399591,6712247,0
399924,6712951,0
399954,6713017,0
400008,6713133,0
400218,6713523,0
400228,6713546,0
400336,6713977,0
400551,6714510,0
400641,6714866,0
400667,6714952,0
400682,6715001,0
400761,6715149,0
400898,6715482,0
401164,6715979,0
401185,6716065,0
401212,6716058,0
